author,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
Suzanne Moore,lexico+voice+coref,0.8963310508877476,0.8336558728494975,0.9590062289259976,6.180306602917185e-05,0.7838698302817083,0.2836651027253354,17.557052739501252
Suzanne Moore,lexico+voice,0.895035118845537,0.8587499437738616,0.9313202939172124,7.135209488013685e-06,0.7541976044805822,0.3240671235379181,30.22703679762842
Suzanne Moore,lexico+coref,0.8769572585341576,0.8040475658395414,0.9498669512287738,0.00013685030483224782,0.7041551292772158,-0.3936049179400237,14.354759931709687
Will Hutton,lexico_syntactic,0.9351354266978446,0.8831961353508208,0.9870747180448683,2.0246444848797747e-05,1.0,0.0,23.260417965302352
Will Hutton,coref,0.7191018559467295,0.6501337879656313,0.7880699239278277,0.0009117482941401495,0.00011875632263647915,-6.947160884336879,8.820375766503583
Will Hutton,voice,0.7965181019044769,0.7384694436313716,0.8545667601775823,0.00014351578933870845,0.0011337552838478185,-4.94091696782199,14.182347312179939
Will Hutton,coref+voice,0.7895749955463642,0.709496512732896,0.8696534783598324,0.0005533803323038525,0.0028601158021343783,-4.234159327803942,10.04001388044726
Will Hutton,lexico+voice+coref,0.9200962733401654,0.8844483736799472,0.9557441730003836,5.202782833991036e-06,0.5260728167362616,-0.6628287321362091,32.71929771303667
Will Hutton,lexico+voice,0.9365025912496154,0.8959071518223226,0.9770980306769083,7.497473473435189e-06,0.9554944468275939,0.05758124151114927,29.85373480318473
Will Hutton,lexico+coref,0.9258751239010898,0.8654377218907776,0.9863125259114021,4.024967542392382e-05,0.7552405521593845,-0.3226374521021109,19.564356902352216
Zoe Williams,lexico_syntactic,0.9026153374350718,0.8840567423947635,0.9211739324753802,4.550052294808011e-07,1.0,0.0,60.23297455821832
Zoe Williams,coref,0.7264096645500822,0.6789002153726725,0.7739191137274918,0.00018852777707533953,1.157793113516622e-05,-9.591604999313832,13.231346938209766
Zoe Williams,voice,0.6530855998313304,0.6027426750744724,0.7034285245881884,0.0010780690394614205,1.2243016610469115e-06,-12.91229014665621,8.442770585554149
Zoe Williams,coref+voice,0.7352246235737697,0.6807318970353428,0.7897173501121967,0.00027779540553291037,4.089017596978961e-05,-8.073319671338181,11.984870206170458
Zoe Williams,lexico+voice+coref,0.8371429803592992,0.7500140526655443,0.9242719080530541,0.00042551060262014024,0.07560788200294413,-2.0405618092596076,10.743377685772526
Zoe Williams,lexico+voice,0.842468422364058,0.7558444222203559,0.92909242250776,0.00039139028375693253,0.0961580234042302,-1.885033659661714,10.976689755496489
Zoe Williams,lexico+coref,0.8742875899137758,0.8181202526477781,0.9304549271797734,5.0222397299235856e-05,0.2203149941938358,-1.3295886400505925,18.50165946145863
